Ativo Original,Codigo Ativo,Taxa,Data Vencimento
35955960000190 - IP PREV XP SEG IQ FIC FIM - VGBL,,,
"CRA PRE DU CRA02300G7D - CRA MARFRIG - AGO/2027 - 0,1321 - 16/08/2027",CRA02300G7D,"Pré-Fixado 11,0000%",16/08/2027
"DEB FLU U VAMO33 - DEB VAMOS - JUN/2031 - IPC-A +6,75% - 15/06/2031",VAMO33,"IPCA + 6,3605%",15/06/2031
"DEB FLU U VAMO33 - DEB VAMOS - JUN/2031 - IPC-A +12,95% - 15/06/2031",VAMO33,"IPCA + 6,3605%",15/06/2031
949714 - XP PICTET MAGO - ALTA ALAVANCADA - 5Y - 30.03.2022 - 01/04/2027,,,
949717 - XP BOLSA AMERICANA - TAXA FIXA OU ALTA ILIMITADA - 5Y - 30.03.2022 - 01/04/2027,,,
949706 - XP MAP TREND - BIDIRECIONAL ALAVANCADO - 5Y - 29.03.2022 - 31/03/2027,,,
CAPITÂNIA INFRA RENDA 90 INCENTIVADO INFRAESTRUTURA RF CP,,,
XP CDI 93 NOVEMBRO 2026 FII RL,,,
ABSOLUTE HIDRA CDI PLUS ADVISORY FIC FI INFRA RF CP RL,,,
CYHF11 - CYRELA HEDGE FUND,,,
XP DEBÊNTURES INCENTIVADAS IMAB CP INCENTIVADO INFRA RF RL,,,
OBY CRÉDITO 30 FIM CP,,,
AZQI11 - AZ QUEST INFRA YIELD FIP IE,,,
JHSF CAPITAL MALLS FEEDER FII RL,,,
XP DEBÊNTURES INCENTIVADAS CDI CP FIF INCENTIVADO DE INVESTIMENTO EM INFRA RF RL,,,
44434898000181 - OBY PREVIDÊNCIA PRÊMIO FIM CP - VGBL,,,
"LCA 25L02684266 - LCA BNDES - DEZ/2026 - 85,00% CDI - 15/12/2026",,,
"CRA FLU CRA021000M9 - CRA CERRADINHO - MAR/2026 - IPC-A +4,55% - 16/03/2026",CRA021000M9,"IPCA + 5,0097%",16/03/2026
"CRI 24E2535186 - CRI ALMARIAS - JUN/2029 - IPC-A +7,50% - 12/06/2029",24E2535186,N/A,N/A
"LCI 24L02578514 - LCI CEF - DEZ/2026 - 92,00% CDI - 18/12/2026",,,
"LCA 25L02684263 - LCA BNDES - DEZ/2026 - 85,00% CDI - 15/12/2026",,,
"LCA 25J00566720 - LCA BNDES - SET/2028 - 81,50% CDI - 15/09/2028",,,
"DEB FLU U HARG11 - DEB HOLDING DO ARAGUAIA - OUT/2036 - IPC-A +6,34% - 15/10/2036",HARG11,"IPCA + 6,6647%",15/10/2036
"CRA FLU CRA021000XD - CRA OLFAR - MAI/2026 - IPC-A +5,00% - 15/05/2026",CRA021000XD,"IPCA + 5,1314%",15/05/2026
"LF PRE LF0021005FU - LF DAYCOVAL - JAN/2031 - 0,109 - 02/01/2031",,,
"LCA 25I03403052 - LCA BNDES - SET/2028 - 85,00% CDI - 15/09/2028",,,
"LCA 25L02684265 - LCA BNDES - DEZ/2026 - 85,00% CDI - 15/12/2026",,,
"LCA 25I03403052 - LCA BNDES - SET/2028 - 81,50% CDI - 15/09/2028",,,
"NTN-B 760199 - AGO/2050 - TESOURO NACIONAL - AGO/2050 - IPC-A +5,29% - 15/08/2050",,,
"NTN-B 760199 - AGO/2060 - TESOURO NACIONAL - AGO/2060 - IPC-A +5,39% - 15/08/2060",,,
"LF PRE LF002100D6T - LF DAYCOVAL - AGO/2026 - 0,111 - 26/08/2026",,,
"DEB FLU U SMTO24 - DEB SAO MARTINHO - JAN/2037 - IPC-A +6,11% - 15/01/2037",SMTO24,"IPCA + 6,1076%",15/01/2037
"LF PRE LF002100GIG - LF DAYCOVAL - OUT/2026 - 0,1225 - 07/10/2026",,,
"LCA 25L02684264 - LCA BNDES - DEZ/2026 - 85,00% CDI - 15/12/2026",,,
"LCI 25C04054295 - LCI CEF - MAR/2027 - 95,50% CDI - 22/03/2027",,,
"LCI 25C04054259 - LCI CEF - MAR/2027 - 94,50% CDI - 22/03/2027",,,
RZDS11 - RIZA DOMUS FII,,,
VGPR11 - VALORA IMOBILIÁRIO MULTIESTRATÉGIA PREMIUM,,,
IMOV11 - NAVI HEDGE FUND,,,
AUGM11 - AUGME CRÉDITO ESTRUTURADO FII RL,,,
XPHB11 - XP HABITAT FII,,,
SPARTA DEBÊNTURES INCENTIVADAS 45 FIC DE FIF INFRA RF RL,,,
TREND INVESTBACK VI - LEGACY,,,
AZQA11 - AZ QUEST LUNA - FIAGRO,,,
PAAG11 - PÁTRIA CRÉDITO AGRÍCOLA FIAGRO,,,
"FND FLU 4733522M02 - FND FACTA INSS CB FUNDO DE IN - MAR/2030 - CDI +5,75% - 15/03/2030",,,
"LCA 25L02684264 - LCA BNDES - DEZ/2026 - 81,50% CDI - 15/12/2026",,,
4997650045 - XP INNOVATIVE LEADERS - IPCA + ALTA ALAVANCADA - 5Y - 15.06.2022 - 17/06/2027,,,
"949341 - XP MAP TREND - BIDIRECIONAL ALAVANCADO - 5,5 ANOS - 29.09.2021 - 31/03/2027",,,
"492572 - CS SAÚDE DIGITAL - TAXA FIXA + ALTA - 5,5 ANOS - 14.06.2021 - 21/12/2026",,,
"CRI 20L0000001 - CRI TRUE SECURITIZADORA S.A. - DEZ/2026 - CDI +0,82% - 28/12/2026",20L0000001,N/A,N/A
"NTN-B 760199 - AGO/2028 - TESOURO NACIONAL - AGO/2028 - IPC-A +7,74% - 15/08/2028",,,
DAHLIA TOTAL RETURN ADVISORY FIC FIF MULTI RL,,,
"DEB FLU U ECER12 - DEB ECOVIAS DO CERRADO - SET/2027 - IPC-A +7,44% - 15/09/2027",ECER12,"IPCA + 6,3500%",15/09/2027
ENCORE LB ADVISORY FIC FIM,,,
SAFRA DI MASTER FIRF REFERENCIADO DI LP,,,
SOLIS CAPITAL ANTARES LIGHT FIC DE FIDC,,,
XP SPECIAL OPPORTUNITIES FIP MULTI - CLASSE A,,,
EB FUTURO SUSTENTÁVEL FIP MULTIESTRATÉGIA CLASSE 2,,,
XPEX11 - XP EXETER II DESENVOLVIMENTO LOG. - CLASSE A,,,
TGRI11 – TG RENDA IMOBILIÁRIA SÊNIOR A,,,
AQUA PE AGRO - TREND PE IX FIC RF SIMPLES RL,,,
EB FS FIP CLASSE 2 - TREND PE VII FIRF RL,,,
CPAC11 - CAPITÂNIA AGRO CRÉDITO,,,
TGRE11 - TG REAL ESTATE,,,
"NTN-B 760199 - AGO/2032 - TESOURO NACIONAL - AGO/2032 - IPC-A +6,43% - 15/08/2032",,,
"NTN-B 760199 - AGO/2050 - TESOURO NACIONAL - AGO/2050 - IPC-A +4,57% - 15/08/2050",,,
"NTN-B 760199 - AGO/2028 - TESOURO NACIONAL - AGO/2028 - IPC-A +6,48% - 15/08/2028",,,
"LF PRE LF002100B57 - LF BANCO BV S/A - AGO/2026 - 0,1045 - 03/08/2026",,,
"LF FLU LF0021007RJ - LF BANCO BV S/A - JUN/2027 - IPC-A +5,35% - 16/06/2027",,,
"CRA FLU CRA021000RY - CRA MINERVA - ABR/2031 - IPC-A +4,70% - 15/04/2031",CRA021000RY,"IPCA + 5,5780%",15/04/2031
"DEB FLU U ELPLB4 - DEB ENEL SP - MAI/2026 - IPC-A +6,65% - 15/05/2026",ELPLB4,"IPCA + 4,0134%",15/05/2026
"LF PRE LF002100GAL - LF DAYCOVAL - OUT/2026 - 0,119 - 06/10/2026",,,
"CDCA 24G02736844 - CDCA BTG - JUL/2034 - IPC-A +6,39% - 17/07/2034",,,
"LCA 25I03403054 - LCA BNDES - SET/2028 - 87,00% CDI - 15/09/2028",,,
ASA HEDGE CIC CI MULTIMERCADO CP RL,,,
"LCA 25F04369628 - LCA BANCO JOHN DEERE S.A. - JUN/2027 - 82,00% CDI - 23/06/2027",,,
SPX NIMITZ GRIPEN ADVISORY FIC FIM,,,
AZ QUEST SUPRA FIC FIF MULTIMERCADO CP,,,
OBY BANDEIRA FIM,,,
ROOT CAPITAL CRÉDITO HG PLUS FIC DE FIF MULTIMERCADO CP RL,,,
"LF PRE LF0021005FS - LF DAYCOVAL - JAN/2029 - 0,1055 - 02/01/2029",,,
M8 CREDIT OPPORTUNITIES FIC DE FI EM FIDC,,,
CAPITÂNIA RADAR 90 FIC DE FIF MULTIMERCADO CP LP RL,,,
NAVI RESIDENCIAL PRIME OPPORTUNITIES - CLASSE C - FII RESP L,,,
XP MACRO PLUS FIC FIM,,,
XP CDI 96 DEZEMBRO 2027 FII RL,,,
"CRA FLU CRA02300RS5 - CRA CAMIL - NOV/2028 - CDI +0,50% - 16/11/2028",CRA02300RS5,"DI + 0,6500%",16/11/2028
"LCA 25L02684265 - LCA BNDES - DEZ/2026 - 81,50% CDI - 15/12/2026",,,
"FND FLU 4733522S01 - FND CONSIGNADO INSS - JUL/2031 - CDI +2,30% - 15/07/2031",,,
"CRI 23C0247702 - CRI LOCALIZA - MAR/2030 - CDI +0,85% - 11/03/2030",23C0247702,"DI + 1,4000%",11/03/2030
"CRA FLU CRA021002N8 - CRA PIRACANJUBA - OUT/2026 - IPC-A +6,70% - 15/10/2026",CRA021002N8,"IPCA + 5,0653%",15/10/2026
"CRA FLU CRA02300CCI - CRA FS BIO - DEZ/2029 - IPC-A +7,60% - 17/12/2029",CRA02300CCI,"IPCA + 8,9000%",17/12/2029
"LCA 25L02684296 - LCA BNDES - DEZ/2026 - 81,50% CDI - 15/12/2026",,,
"DEB FLU U JHSFA1 - DEB JHSF - JAN/2027 - CDI +2,15% - 21/01/2027",JHSFA1,"DI + 2,7500%",21/01/2027
XPHF11 - XP HEDGE FUND,,,
IP PARTICIPAÇÕES IPG FIC FIF AÇÕES RL,,,
AZ QUEST DEBÊNTURES INCENTIVADAS CP FIC DE FIF INCENTIVADO DE INVESTIMENTO EM INFRA RF,,,
"NTN-B 760199 - AGO/2050 - TESOURO NACIONAL - AGO/2050 - IPC-A +7,14% - 15/08/2050",,,
"LCA 25L02684265 - LCA BNDES - DEZ/2026 - 82,00% CDI - 15/12/2026",,,
"CRA FLU CRA024004SC - CRA JBS - MAI/2044 - IPC-A +8,75% - 16/05/2044",CRA024004SC,"IPCA + 6,9947%",16/05/2044
"CRA FLU CRA022004S9 - CRA VAMOS - MAI/2037 - IPC-A +11,26% - 15/05/2037",CRA022004S9,"IPCA + 6,9739%",15/05/2037
"LCA 25I04075952 - LCA BNDES - SET/2028 - 82,00% CDI - 15/09/2028",,,
XPAG11 - XP CRÉDITO AGRO,,,
XP CREDIT OPPORTUNITIES FIDC - MODELO A,,,
ATENA YIELD D30 FIC DE FIF RF CP RL,,,
KJNT11 - KIJANI ASATALA FIAGRO,,,
AZ QUEST VALORE FIRF CP,,,
"CDB PRE DU CDB225A6F3H - CDB AGIBANK - AGO/2026 - 0,1495 - 19/08/2026",,,
PIER11 - PÁTRIA INFRA ENERGIA CORE RENDA FIP INFRA,,,
"CDB PRE DU CDB225AO101 - CDB BMG - FEV/2026 - 0,1481 - 26/02/2026",,,
"CDB PRE DU CDB225A5BJU - CDB FACTA FINANCEIRA - FEV/2026 - 0,149 - 25/02/2026",,,
"CRI 24E2535186 - CRI ALMARIAS - JUN/2029 - IPC-A +9,04% - 12/06/2029",24E2535186,N/A,N/A
"CRI 24D3691422 - CRI PERSA - JUL/2029 - IPC-A +8,92% - 31/07/2029",24D3691422,N/A,N/A
"DEB FLU U BRKMA6 - DEB BRASKEM - MAI/2029 - CDI +46,97% - 12/05/2029",BRKMA6,"DI + 1,7500%",12/05/2029
"LF PRE LF002100JBD - LF BANCO SAFRA S/A - OUT/2026 - 0,1335 - 29/10/2026",,,
VERDE AM SCENA ADVISORY FIC DE FIF MULTIMERCADO RL,,,
RIZA MEYENII 180 ADVISORY FIF DE COTAS DE FIM,,,
BRAVE 90 FIC FIDC,,,
TGRI – TG RENDA IMOBILIÁRIA FEEDER FII RL,,,
OCCAM RETORNO ABSOLUTO ADVISORY FIC FIF MULTI - RL,,,
SYSTEMATICA BLUE TREND ADVISORY FIC FIM IE,,,
SOLIS CAPITAL ANTARES ADVISORY FIC DE FIDC,,,
42794534000187 - ARCA GRÃO XP SEG PREV ADVISORY FIC FIM - VGBL,,,
"LCA 25J03111341 - LCA BNDES - OUT/2028 - 81,50% CDI - 16/10/2028",,,
"NTN-B 760199 - MAI/2027 - TESOURO NACIONAL - MAI/2027 - IPC-A +8,12% - 15/05/2027",,,
"LCA 25L02684263 - LCA BNDES - DEZ/2026 - 81,50% CDI - 15/12/2026",,,
"CRI 23F1519397 - CRI MOVIDA - JUN/2028 - IPC-A +11,47% - 16/06/2028",23F1519397,"IPCA + 7,0000%",16/06/2028
"CRI 22E1314836 - CRI SÃO CARLOS - SET/2029 - IPC-A +9,49% - 17/09/2029",22E1314836,"IPCA + 7,3826%",17/09/2029
"CDB FLU CDB72426UK9 - CDB WILL FINANCEIRA (MASTER) - JUL/2028 - 121,00% CDI - 03/07/2028",,,
"CDB PRE DU CDB425CS6H1 - CDB PINE - ABR/2026 - 0,156 - 30/04/2026",,,
"CRA FLU CRA02300MJ9 - CRA MINERVA - SET/2028 - CDI +0,82% - 15/09/2028",CRA02300MJ9,"DI + 1,5000%",15/09/2028
"FND FLU 4733522S01 - FND CONSIGNADO INSS - JUL/2031 - CDI +2,50% - 15/07/2031",,,
"CDB FLU CDB3219GR54 - CDB AGIBANK - AGO/2026 - IPC-A +6,00% - 04/08/2026",,,
"CDB PRE DU CDB125010XJ - CDB PICPAY - JAN/2028 - 0,1692 - 03/01/2028",,,
"DEB FLU U JHSFA3 - DEB JHSF - DEZ/2027 - CDI +1,09% - 20/12/2027",JHSFA3,"DI + 2,2000%",20/12/2027
"CDB FLU CDB8243BNIR - CDB BANCO DIGIMAIS S.A. - AGO/2028 - 120,00% CDI - 07/08/2028",,,
"CDB PRE DU CDB4257QI7V - CDB FACTA FINANCEIRA - ABR/2027 - 0,1535 - 15/04/2027",,,
"NTN-B 760199 - AGO/2026 - TESOURO NACIONAL - AGO/2026 - IPC-A +10,07% - 15/08/2026",,,
"LCA 25L02684296 - LCA BNDES - DEZ/2026 - 82,00% CDI - 15/12/2026",,,
